GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.uteq.backend.security,LoginRateLimiter,50,69,5,7,12,13,4,8,1,5
,com.uteq.backend.security,JwtAuthFilter,0,105,1,7,0,32,1,6,0,3
,com.uteq.backend.security,ChatbotRateLimiter,14,56,1,7,5,10,1,7,0,4
,com.uteq.backend.security,JwtService,8,136,1,1,2,40,3,13,2,13
,com.uteq.backend.security,UserDetailsServiceImpl,0,55,0,0,0,14,0,4,0,4
,com.uteq.backend.scheduling,UsuarioScheduler,18,10,2,0,5,4,2,2,1,2
,com.uteq.backend.scheduling,ReservacionScheduler,0,80,0,2,0,24,0,7,0,6
,com.uteq.backend.scheduling,NotificacionVencimientoScheduler,6,91,0,2,0,25,1,5,1,4
,com.uteq.backend.service,MultaService,247,189,18,2,51,45,20,12,10,12
,com.uteq.backend.service,TipoDanoService,165,0,4,0,29,0,13,0,11,0
,com.uteq.backend.service,RefreshTokenInvalidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,LibroService,285,593,53,39,40,126,49,27,11,19
,com.uteq.backend.service,ReportePdfService,901,258,34,4,106,37,22,8,5,6
,com.uteq.backend.service,MaterialReservadoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,CorreoDominioNoPermitidoException,4,0,0,0,2,0,1,0,1,0
,com.uteq.backend.service,ChatbotService,45,326,2,14,7,75,4,16,2,10
,com.uteq.backend.service,ChatbotRateLimitExcedidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,CorreoYaRegistradoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,ServicioTemporalmenteNoDisponibleException,4,0,0,0,2,0,1,0,1,0
,com.uteq.backend.service,DevolucionService,449,411,44,30,86,108,46,15,17,7
,com.uteq.backend.service,PrestamoService,283,601,15,39,64,151,32,40,22,23
,com.uteq.backend.service,LibroIsbnLookupService,306,289,73,21,52,61,45,10,1,7
,com.uteq.backend.service,CredencialQrService,7,75,0,2,2,17,0,7,0,6
,com.uteq.backend.service,LoginRateLimitExcedidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,NotificacionService,86,220,2,10,15,52,8,14,6,10
,com.uteq.backend.service,AuthService,113,446,8,6,10,95,10,14,5,12
,com.uteq.backend.service,UsuarioAdminService,9,256,3,3,1,65,4,13,1,13
,com.uteq.backend.service,EstadoReservacionInicialNoConfiguradoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,CodigoVerificacionInvalidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,PrestamoVencidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,LimitePrestamosExcedidoException,4,0,0,0,2,0,1,0,1,0
,com.uteq.backend.service,AuditoriaService,0,83,0,4,0,19,0,7,0,5
,com.uteq.backend.service,EmailService,0,61,0,0,0,15,0,3,0,3
,com.uteq.backend.service,ReservacionService,67,260,5,11,16,68,9,17,5,13
,com.uteq.backend.service,ReservacionesGestionService,161,20,4,0,41,8,8,2,6,2
,com.uteq.backend.service,VerificacionCorreoService,29,96,0,6,8,22,0,8,0,5
,com.uteq.backend.service,SugerenciaAdquisicionService,18,138,3,1,1,36,3,8,1,8
,com.uteq.backend.service,PrestamosGestionService,493,35,26,0,113,13,38,2,25,2
,com.uteq.backend.service,SesionChatNoEncontradaException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,LimiteRenovacionesExcedidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,FavoritoService,12,154,1,3,2,28,2,11,1,10
,com.uteq.backend.service,ConfiguracionSistemaService,20,109,0,2,5,24,1,9,1,8
,com.uteq.backend.chatbot,ChatbotOrchestrator,465,33,26,0,100,11,25,2,12,2
,com.uteq.backend.chatbot,ChatbotToolRegistry,156,48,12,2,33,10,11,3,5,2
,com.uteq.backend.chatbot.tool,InfoPoliticasTool,98,15,6,0,20,6,6,3,3,3
,com.uteq.backend.chatbot.tool,BuscarLibroTool,128,15,2,0,27,6,3,3,2,3
,com.uteq.backend.chatbot.tool,ConsultarMultasTool,150,18,8,0,32,7,7,3,3,3
,com.uteq.backend.chatbot.tool,ConsultarHorariosTool,83,15,2,0,18,6,4,3,3,3
,com.uteq.backend.chatbot.tool,ConsultarReservacionesTool,271,21,24,0,56,8,15,3,3,3
,com.uteq.backend.chatbot.tool,ConsultarPrestamosTool,179,15,8,0,35,6,6,3,2,3
,com.uteq.backend.exception,GlobalExceptionHandler,114,89,12,2,27,20,20,14,13,13
,com.uteq.backend.integration,GeminiClient.GeminiResponse,39,0,2,0,4,0,5,0,4,0
,com.uteq.backend.integration,GeminiClient,538,48,52,2,105,15,32,2,5,2
,com.uteq.backend.controller,LibroController,22,72,0,0,3,19,3,8,3,8
