GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.uteq.backend.security,LoginRateLimiter,50,69,5,7,12,13,4,8,1,5
,com.uteq.backend.security,JwtAuthFilter,0,105,1,7,0,32,1,6,0,3
,com.uteq.backend.security,ChatbotRateLimiter,14,56,1,7,5,10,1,7,0,4
,com.uteq.backend.security,JwtService,8,136,1,1,2,40,3,13,2,13
,com.uteq.backend.security,UserDetailsServiceImpl,0,55,0,0,0,14,0,4,0,4
,com.uteq.backend.scheduling,UsuarioScheduler,5,23,1,1,1,8,1,3,0,3
,com.uteq.backend.scheduling,ReservacionScheduler,0,80,0,2,0,24,0,7,0,6
,com.uteq.backend.scheduling,NotificacionVencimientoScheduler,6,91,0,2,0,25,1,5,1,4
,com.uteq.backend.service,RespaldoCompletoService,326,15,38,0,69,6,35,1,16,1
,com.uteq.backend.service,MultaService,257,231,18,2,53,59,20,13,10,13
,com.uteq.backend.service,TipoDanoService,251,0,20,0,44,0,23,0,13,0
,com.uteq.backend.service,RefreshTokenInvalidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,LibroService,629,813,129,69,85,184,106,36,19,24
,com.uteq.backend.service,ReportePdfService,952,271,18,6,85,43,25,12,16,9
,com.uteq.backend.service,MaterialReservadoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,CorreoDominioNoPermitidoException,4,0,0,0,2,0,1,0,1,0
,com.uteq.backend.service,ChatbotService,45,326,2,14,7,75,4,16,2,10
,com.uteq.backend.service,ChatbotRateLimitExcedidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,CorreoYaRegistradoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,ServicioTemporalmenteNoDisponibleException,4,0,0,0,2,0,1,0,1,0
,com.uteq.backend.service,DevolucionService,463,434,46,36,89,112,47,16,15,7
,com.uteq.backend.service,PrestamoService,816,650,27,39,123,165,52,41,36,24
,com.uteq.backend.service,LibroIsbnLookupService,409,340,91,25,69,69,56,10,1,7
,com.uteq.backend.service,CredencialQrService,7,75,0,2,2,17,0,7,0,6
,com.uteq.backend.service,LoginRateLimitExcedidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,NotificacionService,210,216,14,10,46,55,19,12,9,10
,com.uteq.backend.service,BackupService,599,146,74,0,104,19,57,2,20,2
,com.uteq.backend.service,AuthService,285,466,18,14,46,98,21,18,11,12
,com.uteq.backend.service,UsuarioAdminService,127,466,23,23,13,95,27,21,7,18
,com.uteq.backend.service,EstadoReservacionInicialNoConfiguradoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,CodigoVerificacionInvalidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,PrestamoVencidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,LimitePrestamosExcedidoException,4,0,0,0,2,0,1,0,1,0
,com.uteq.backend.service,BackupStorageService,345,6,28,0,48,1,24,1,10,1
,com.uteq.backend.service,AuditoriaService,205,77,18,2,25,19,12,5,3,4
,com.uteq.backend.service,BackupProgramacionService,528,27,36,0,95,9,41,2,23,2
,com.uteq.backend.service,EmailService,104,69,7,1,20,17,5,3,1,3
,com.uteq.backend.service,ReservacionService,168,366,24,18,34,91,23,20,7,15
,com.uteq.backend.service,ReservacionesGestionService,161,20,4,0,41,8,8,2,6,2
,com.uteq.backend.service,VerificacionCorreoService,29,96,0,6,8,22,0,8,0,5
,com.uteq.backend.service,SugerenciaAdquisicionService,36,227,6,4,5,61,7,12,3,11
,com.uteq.backend.service,PrestamosGestionService,484,35,26,0,113,13,35,2,22,2
,com.uteq.backend.service,SesionChatNoEncontradaException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,LimiteRenovacionesExcedidoException,0,4,0,0,0,2,0,1,0,1
,com.uteq.backend.service,FavoritoService,34,154,1,3,5,28,4,11,3,10
,com.uteq.backend.service,SuscripcionDisponibilidadService,136,15,12,0,23,6,13,1,7,1
,com.uteq.backend.service,ConfiguracionSistemaService,17,143,0,2,4,37,1,10,1,9
,com.uteq.backend.chatbot,ChatbotOrchestrator,465,33,26,0,100,11,25,2,12,2
,com.uteq.backend.chatbot,ChatbotToolRegistry,156,48,12,2,33,10,11,3,5,2
,com.uteq.backend.repository,PrestamoProcedureRepository,20,0,0,0,3,0,3,0,3,0
,com.uteq.backend.chatbot.tool,InfoPoliticasTool,30,8,0,0,7,4,3,3,3,3
,com.uteq.backend.chatbot.tool,AbstractUsuarioAwareTool,0,74,0,4,0,16,0,5,0,3
,com.uteq.backend.chatbot.tool,AbstractChatbotTool,0,19,0,0,0,5,0,2,0,2
,com.uteq.backend.chatbot.tool,BuscarLibroTool,128,10,2,0,27,5,3,3,2,3
