codigo,fecha,edad,sexo,experiencia_web,dispositivo,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,I1,I2,score,comentarios
P01,2026-08-28,22,Femenino,Intermedia,Laptop,4,1,4,1,4,2,4,2,4,2,4,4,80.0,Facil de usar pero la reserva fue un poco confusa al inicio
P02,2026-08-28,20,Masculino,Basica,Escritorio,4,1,4,1,4,1,4,2,4,2,4,5,82.5,Me gusta el diseno visual muy limpio
P03,2026-08-28,25,Femenino,Avanzada,Laptop,5,1,4,1,4,1,4,2,4,2,5,4,85.0,Intuitivo para alguien con experiencia en web
P04,2026-08-28,19,Masculino,Basica,Movil,4,1,4,1,3,2,4,2,4,2,3,4,77.5,En movil se ve un poco pequeno pero funciona
P05,2026-08-28,23,Femenino,Intermedia,Laptop,5,1,5,1,4,1,4,2,4,2,5,5,87.5,Muy buen sistema para gestion bibliotecaria
P06,2026-08-29,28,Masculino,Avanzada,Escritorio,5,2,4,1,4,2,4,2,4,2,4,4,80.0,La navegacion entre modulos es clara
P07,2026-08-29,21,Femenino,Intermedia,Laptop,5,2,4,1,4,1,4,2,4,2,4,4,82.5,Buena experiencia general
P08,2026-08-29,24,Masculino,Avanzada,Escritorio,4,1,5,1,4,1,4,2,4,2,4,5,85.0,Sistema completo y bien estructurado
P09,2026-08-30,20,Femenino,Basica,Laptop,4,1,5,1,3,2,4,2,4,2,4,4,80.0,No tuve problemas para completar las tareas
P10,2026-08-30,22,Masculino,Intermedia,Movil,5,1,3,2,4,2,4,2,4,2,3,4,77.5,El registro fue muy sencillo
P11,2026-08-30,26,Femenino,Avanzada,Laptop,5,1,5,1,5,1,4,2,4,2,5,5,90.0,Excelente usabilidad en general
P12,2026-08-30,19,Masculino,Basica,Escritorio,3,1,4,1,4,2,4,2,4,2,4,4,77.5,Facil de aprender sin instrucciones
P13,2026-08-30,23,Femenino,Intermedia,Laptop,5,1,3,1,5,2,4,2,4,2,4,5,82.5,El catalogo es muy visual y atractivo
P14,2026-08-30,21,Masculino,Intermedia,Movil,5,1,3,1,4,2,4,2,4,2,3,4,80.0,Buena experiencia aunque en movil se podria mejorar
P15,2026-08-30,25,Femenino,Avanzada,Laptop,5,2,4,1,4,1,5,2,4,2,5,5,85.0,Sistema muy completo para una biblioteca
